country,date,Inflation,Unemployment Rate,GDP (USD),Interest Rate
Europe & Central Asia (excluding high income),2018,2.56572880132719,8.66101950653445,1468176944855.79,
Europe & Central Asia (IDA & IBRD countries),2023,9.36187249769016,5.16074258293559,5497903850286.88,
Europe & Central Asia (IDA & IBRD countries),2022,13.8875841659221,5.68431126209161,5237811052696.8,
Europe & Central Asia (IDA & IBRD countries),2021,5.10641129002841,6.8319668511332,4642906015416.13,
Europe & Central Asia (IDA & IBRD countries),2020,2.73249209419427,7.23741604434341,3916846154218.45,
Europe & Central Asia (IDA & IBRD countries),2019,2.67599202639893,6.74057982241333,4175889218401.02,
Europe & Central Asia (IDA & IBRD countries),2018,2.611223782638,6.68602119949787,4091548485168.69,
European Union,2023,6.29942487419125,6.02944529696582,18590720056635.3,
European Union,2022,8.83369886749452,6.14302856971608,16995332000257.8,
European Union,2021,2.55450699642041,7.01183843029148,17496551469916.3,
European Union,2020,0.476498852725066,7.04821860006322,15504700009593.0,
European Union,2019,1.63052260754344,6.68649109760781,15808398315797.0,
European Union,2018,1.7386086198818,7.25621058383303,16091487781135.5,
Fragile and conflict affected situations,2023,6.50641689587007,5.20087833966654,1937937125126.32,
Fragile and conflict affected situations,2022,8.19957411428187,5.60917621194441,1964841634349.73,
Fragile and conflict affected situations,2021,4.09248350323572,6.77761944075494,1786326958459.63,
Fragile and conflict affected situations,2020,2.81534292722848,6.65180755643263,1675406927630.4,
Fragile and conflict affected situations,2019,2.45280214062732,5.87910736649221,1842632114099.19,
Fragile and conflict affected situations,2018,2.96760366004456,5.82973963441826,1734689832167.02,
Heavily indebted poor countries (HIPC),2023,7.38281384280984,4.22661765181006,1129946910802.31,
Heavily indebted poor countries (HIPC),2022,9.57337118555957,4.44664203690213,983601535350.123,
Heavily indebted poor countries (HIPC),2021,4.37012190478156,4.99025451599025,905796942446.21,
Heavily indebted poor countries (HIPC),2020,3.47617372722197,5.08466986799381,813139899187.274,
Heavily indebted poor countries (HIPC),2019,2.80270307928106,4.35891138556294,805115217775.604,
Heavily indebted poor countries (HIPC),2018,3.06735996058356,4.3509884503825,776506227119.833,
High income,2023,4.82146729476466,4.32742379174678,68276492853979.9,
High income,2022,7.35165155325364,4.47915987611736,64961263426035.5,
High income,2021,2.52692009066166,5.52627993407203,62737887026890.0,
High income,2020,0.598986330824643,6.42528049057761,55946257620086.9,
High income,2019,1.61519988737213,4.74230573414225,57351008372783.0,
High income,2018,1.88110801380597,5.07062826095132,56793957781697.4,
IBRD only,2023,5.92897989412842,5.16481549355938,38789302232983.5,
IBRD only,2022,8.81109209279587,5.60153415826182,37711987599830.9,
IBRD only,2021,4.26635754479805,6.33890972820408,35763964842420.9,
IBRD only,2020,2.40414666699827,6.97165272530513,30114868724300.2,
IBRD only,2019,2.55754475703327,6.08061330115891,31298751631398.9,
IBRD only,2018,3.21605383144579,6.29423565288986,30653934094282.1,
IDA & IBRD total,2023,6.08252502862335,5.03559497830806,41669008262158.8,
IDA & IBRD total,2022,8.33370630096231,5.42390521920667,40596809224874.0,
IDA & IBRD total,2021,4.22278962033194,6.17168860176086,38431269006646.3,
IDA & IBRD total,2020,2.82900161517199,6.64349161891375,32566020356731.5,
IDA & IBRD total,2019,2.6806827895334,5.78291780985394,33801024892359.5,
IDA & IBRD total,2018,3.13285318810383,5.92439685213894,33059072280457.1,
IDA blend,2023,4.38984017487675,4.51808369615567,1068437562493.42,
IDA blend,2022,7.00530945399784,4.93203945664766,1208339576445.76,
IDA blend,2021,3.23563659237071,5.98291664974636,1114246944908.41,
IDA blend,2020,1.79537147083108,6.00035968627457,1024076691136.99,
IDA blend,2019,2.20607305781525,5.20102075138375,1092770923537.26,
IDA blend,2018,2.32414485367921,4.84749926503425,1066719614873.96,
IDA only,2023,7.11475951738199,4.68393546436256,1814046621127.36,
IDA only,2022,9.39383877456591,4.82557394978687,1677113352089.33,
IDA only,2021,4.25936417542868,5.44549655001938,1554300772461.72,
IDA only,2020,3.68181341625572,5.35492848170194,1426190711693.48,
IDA only,2019,2.83514555687503,4.56547551945594,1409009216106.54,
IDA only,2018,3.01748181031406,4.56356857145765,1338364722234.58,
IDA total,2023,6.50719080301323,4.6258035699256,2880514996348.02,
IDA total,2022,8.06408196804895,4.86219567527372,2885452928535.09,
IDA total,2021,4.16794754941892,5.63088102209667,2668547717370.14,
IDA total,2020,3.47617372722197,5.57685316149891,2450267402830.47,
IDA total,2019,2.7264303738882,4.78267538138002,2501780139643.8,
IDA total,2018,2.96760366004456,4.66056541533335,2405084337108.54,
Late-demographic dividend,2023,5.9801225620013,4.80560627805011,28348483457826.9,
Late-demographic dividend,2022,8.51819703483594,5.1827288093095,28079439418908.5,
Late-demographic dividend,2021,3.49505757399448,5.49510544394083,26910414198858.4,
Late-demographic dividend,2020,1.93694126694223,5.9184077587943,22553187301005.8,
Late-demographic dividend,2019,2.16176258133054,5.185075164245,23070237789791.1,
Late-demographic dividend,2018,2.47446347118434,5.03962485623598,22641256363718.2,
Latin America & Caribbean,2023,4.62930242419968,6.20743027327999,7100142198622.08,
Latin America & Caribbean,2022,7.7806152516404,6.91530046339274,6344871239270.21,
Latin America & Caribbean,2021,3.49505757399448,9.15752048997139,5581050600056.69,
Latin America & Caribbean,2020,0.99333702283873,10.2142816414883,4805510770575.42,
Latin America & Caribbean,2019,2.25212191358027,8.00039639339806,5659312361702.86,
Latin America & Caribbean,2018,2.32414485367921,7.93233089575174,5743189791995.49,
Latin America & Caribbean (excluding high income),2023,4.6127928384328,6.11953093081959,6057469575864.84,
Latin America & Caribbean (excluding high income),2022,8.27477490232654,6.90218174932878,5393055179435.18,
Latin America & Caribbean (excluding high income),2021,4.26105127422813,9.23355868723715,4693445308215.29,
Latin America & Caribbean (excluding high income),2020,2.00241205759292,10.2741273901423,4047055896231.79,
Latin America & Caribbean (excluding high income),2019,2.17408413342917,8.11517433962502,4803447002170.21,
Latin America & Caribbean (excluding high income),2018,2.78235709149245,8.07033178581621,4870399736155.19,
Latin America & the Caribbean (IDA & IBRD countries),2023,4.63066263911662,6.27705803055615,6779682191342.68,
Latin America & the Caribbean (IDA & IBRD countries),2022,7.83844572166295,6.99769011843402,6049066571917.19,
Latin America & the Caribbean (IDA & IBRD countries),2021,3.8780544241113,9.27350464000943,5313451270078.42,
Latin America & the Caribbean (IDA & IBRD countries),2020,1.38042647320286,10.3522494542699,4561922258737.73,
Latin America & the Caribbean (IDA & IBRD countries),2019,2.0916386224491,8.10424349109533,5413333286802.23,
Latin America & the Caribbean (IDA & IBRD countries),2018,2.29810236299038,8.03324720484733,5506624568680.82,
Least developed countries: UN classification,2023,7.80497591927973,4.94642314711997,1516309568380.52,
Least developed countries: UN classification,2022,8.83282133699809,5.08844456845939,1435846906574.12,
Least developed countries: UN classification,2021,4.16794754941892,5.75302416584841,1279711995341.63,
Least developed countries: UN classification,2020,4.33296874711709,5.63912879862034,1172274838994.17,
Least developed countries: UN classification,2019,3.32090626980376,4.88614655379023,1161448671597.72,
Least developed countries: UN classification,2018,3.47796666914955,4.8870235507301,1100496566937.02,
Low & middle income,2023,6.0739085322053,5.05976552198271,37533765909928.0,
Low & middle income,2022,8.30646124447623,5.45251358879628,36465232446694.9,
Low & middle income,2021,4.1862150652352,6.19361989007564,34778125922181.4,
Low & middle income,2020,2.96354992076065,6.6515900324549,29521428086822.8,
Low & middle income,2019,2.74176382475797,5.81381616292644,30495388425380.4,
Low & middle income,2018,3.23929245939142,5.94758218404823,29791620278516.9,
Low income,2023,9.98439015850204,4.9067296311379,663529162731.73,
Low income,2022,9.62147608489072,5.07394035163588,547199942824.131,
Low income,2021,5.81225118787715,5.70873263357671,474823152496.384,
Low income,2020,4.4641443723286,5.68731646365826,442702142538.409,
Low income,2019,2.867588034469,4.99494314733493,447114593744.199,
Low income,2018,2.96760366004456,4.97554452810785,420211435774.79,
Lower middle income,2023,6.88900566042828,4.4022140714888,7439509140290.38,
Lower middle income,2022,7.69695437176898,4.8436880217257,7371395678679.62,
Lower middle income,2021,4.14968003360264,6.0122012019493,6911861585177.33,
Lower middle income,2020,4.87167398565555,6.66380926217302,6102312002456.38,
Lower middle income,2019,3.31925372703827,5.62039668810011,6298712117939.29,
Lower middle income,2018,4.0611633875107,6.11409397114733,5994118980886.44,
Middle East & North Africa,2023,4.22535211267609,9.12057231205856,4320566779119.19,
Middle East & North Africa,2022,4.99527553740761,9.59898977494279,4475708600082.35,
Middle East & North Africa,2021,2.30446565742003,10.2348915008261,3807870128264.03,
Middle East & North Africa,2020,0.705968661338261,10.6169996140398,3207935509914.13,
