ticker,abbreviated name
sz000428,华天酒店
sz000488,晨鸣纸业
sz000513,丽珠集团
sz000553,安道麦A
sz000560,我爱我家
sz000581,威孚高科
sz000584,哈工智能
sz000401,冀东水泥
sz000611,*ST天首
sz000950,重药控股
sz000598,兴蓉环境
sz000936,华西股份
sz000918,嘉凯城
sz000913,钱江摩托
sz000877,天山股份
sz000858,五 粮 液
sz000900,现代投资
sz000838,财信发展
sz000790,华神科技
sz000755,山西路桥
sz000677,恒天海龙
sz000630,铜陵有色
sz000626,远大控股
sz000953,河化股份
sz000980,*ST众泰
sz000971,ST高升
sz000968,蓝焰控股
sz000967,盈峰环境
sz000998,隆平高科
sz000920,沃顿科技
sz000812,陕西金叶
sz000898,鞍钢股份
sz000883,湖北能源
sz000860,顺鑫农业
sz000822,山东海化
sz000801,四川九洲
sz001896,豫能控股
sz000906,浙商中拓
sz002048,宁波华翔
sh600212,江泉实业
sh600064,南京高科
sz000795,英洛华
sh600219,南山铝业
sh600209,*ST罗顿
sh600208,新湖中宝
sh600199,金种子酒
sh600157,永泰能源
sh600148,长春一东
sh600141,兴发集团
sh600135,乐凯胶片
sh600133,东湖高新
sh600132,重庆啤酒
sh600117,西宁特钢
sh600114,东睦股份
sh600083,*ST博信
sh600073,上海梅林
sh600061,国投资本
sz000788,北大医药
sh600262,北方股份
sz000758,中色股份
sz000564,*ST大集
sz000546,金圆股份
sz000536,华映科技
sz000534,万泽股份
sz000532,华金资本
sz000520,长航凤凰
sz000571,ST大洲
sz000501,武商集团
sz000301,东方盛虹
sz000055,方大集团
sz000032,深桑达Ａ
sz000023,深天地Ａ
sz000006,深振业Ａ
sh600232,金鹰股份
sz000404,长虹华意
sz000586,汇源通信
sz000595,宝塔实业
sz000597,东北制药
sz000739,普洛药业
sz000735,罗 牛 山
sz000708,中信特钢
sz000701,厦门信达
sz000700,模塑科技
sz000691,亚太实业
sz000671,阳 光 城
sz000669,ST金鸿
sz000639,西王食品
sz000615,奥园美谷
sz000613,*ST东海A
sz000610,西安旅游
sz000607,华媒控股
sz000606,*ST顺利
sz000605,渤海股份
sz000786,北新建材
sh600258,首旅酒店
sh600137,浪莎股份
sh600282,南钢股份
sh600601,*ST方科
sh600619,海立股份
sh600626,申达股份
sh600630,龙头股份
sh600671,ST目药
sh600678,四川金顶
sh600684,珠江股份
sh600686,金龙汽车
sh600694,大商股份
sh600714,金瑞矿业
sh600730,中国高科
sh600732,爱旭股份
sh600735,新华锦
sh600595,ST中孚
sh600746,XD江苏索
sh600812,华北制药
sh600831,广电网络
sh600834,申通地铁
sh600850,电科数字
sh600854,春兰股份
sh600856,*ST中天
sh600870,*ST厦华
sh600889,南京化纤
sh600898,国美通讯
sh600965,福成股份
sh600971,恒源煤电
sh600990,四创电子
sh600993,马应龙
sh600810,神马股份
sh600572,康恩贝
sh600791,京能置业
sh600567,山鹰国际
sh600568,ST中珠
sh600298,安琪酵母
sh600305,恒顺醋业
sh600320,振华重工
sh600321,正源股份
sh600352,浙江龙盛
sh600379,宝光股份
sh600382,*ST广珠
sh600397,安源煤业
sh600398,海澜之家
sh600423,柳化股份
sh600426,华鲁恒升
sh600458,时代新材
sh600388,ST龙净
sh600558,大西洋
sh600560,金自天正
sh600461,洪城环境
sh600557,康缘药业
sh600533,栖霞建设
sh600532,未来股份
sh600519,贵州茅台
sh600517,国网英大
sh600531,豫光金铅
sh600500,中化国际
sh600497,驰宏锌锗
sh600489,中金黄金
sh600476,湘邮科技
sh600467,好当家
sh600593,*ST圣亚
sh600543,莫高股份
sh600581,八一钢铁
sh600565,迪马股份
sh600545,卓郎智能
sh600584,长电科技
sh600539,狮头股份
sh600400,红豆股份
sh600507,方大特钢
sh600478,科力远
sh600444,国机通用
sh600420,国药现代
sh600604,市北高新
sh600403,大有能源
sh600537,亿晶光电
sh600612,老凤祥
sh600886,国投电力
sh600660,福耀玻璃
sh600393,ST粤泰
sh600973,宝胜股份
sh600887,伊利股份
sh600882,妙可蓝多
sh600861,北京城乡
sh600795,国电电力
sh600794,保税科技
sh600789,鲁抗医药
sh600782,新钢股份
sh600749,西藏旅游
sh600724,宁波富达
sh600705,中航产融
sh600702,舍得酒业
sh600697,欧亚集团
sh600691,阳煤化工
sh600618,氯碱化工
sh600391,航发科技
sh600469,风神股份
sh600366,宁波韵升
sh600026,中远海能
sh600012,皖通高速
sz001914,招商积余
sz000977,浪潮信息
sz000931,中 关 村
sz000890,法尔胜
sz000875,吉电股份
sz000759,中百集团
sz000756,新华制药
sz000722,湖南发展
sz000720,新能泰山
sz000681,视觉中国
