Date,Close_^GSPC,Close_^IXIC,High_^GSPC,High_^IXIC,Low_^GSPC,Low_^IXIC,Open_^GSPC,Open_^IXIC,Volume_^GSPC,Volume_^IXIC
2010-01-04,1132.989990234375,2308.419921875,1133.8699951171875,2311.14990234375,1116.56005859375,2294.409912109375,1116.56005859375,2294.409912109375,3991400000,1931380000
2010-01-05,1136.52001953125,2308.7099609375,1136.6300048828125,2313.72998046875,1129.6600341796875,2295.6201171875,1132.6600341796875,2307.27001953125,2491020000,2367860000
2010-01-06,1137.1400146484375,2301.090087890625,1139.18994140625,2314.070068359375,1133.949951171875,2295.679931640625,1135.7099609375,2307.7099609375,4972660000,2253340000
2010-01-07,1141.68994140625,2300.050048828125,1142.4599609375,2301.300048828125,1131.3199462890625,2285.219970703125,1136.27001953125,2298.090087890625,5270680000,2270050000
2010-01-08,1144.97998046875,2317.169921875,1145.3900146484375,2317.60009765625,1136.219970703125,2290.610107421875,1140.52001953125,2292.239990234375,4389590000,2145390000
2010-01-11,1146.97998046875,2312.409912109375,1149.739990234375,2326.280029296875,1142.02001953125,2302.2099609375,1145.9599609375,2324.780029296875,4255780000,2077890000
2010-01-12,1136.219970703125,2282.31005859375,1143.81005859375,2298.85009765625,1131.77001953125,2272.699951171875,1143.81005859375,2297.280029296875,4716160000,2368320000
2010-01-13,1145.6800537109375,2307.89990234375,1148.4000244140625,2313.030029296875,1133.1800537109375,2274.1201171875,1137.31005859375,2289.4599609375,4170360000,2318350000
2010-01-14,1148.4599609375,2316.739990234375,1150.4100341796875,2322.56005859375,1143.800048828125,2303.2900390625,1145.6800537109375,2303.31005859375,3915200000,2254170000
2010-01-15,1136.030029296875,2287.989990234375,1147.77001953125,2322.5400390625,1131.3900146484375,2279.199951171875,1147.719970703125,2316.97998046875,4758730000,2637770000
2010-01-19,1150.22998046875,2320.39990234375,1150.449951171875,2320.39990234375,1135.77001953125,2290.679931640625,1136.030029296875,2291.02001953125,4724830000,2045290000
2010-01-20,1138.0400390625,2291.25,1147.949951171875,2304.469970703125,1129.25,2268.679931640625,1147.949951171875,2304.31005859375,4810560000,2351890000
2010-01-21,1116.47998046875,2265.699951171875,1141.5799560546875,2308.97998046875,1114.8399658203125,2259.820068359375,1138.6800537109375,2298.22998046875,6874290000,2877800000
2010-01-22,1091.760009765625,2205.2900390625,1115.489990234375,2262.27001953125,1090.1800537109375,2200.3701171875,1115.489990234375,2255.760009765625,6208650000,2817620000
2010-01-25,1096.780029296875,2210.800048828125,1102.969970703125,2223.219970703125,1092.4000244140625,2201.169921875,1092.4000244140625,2220.2900390625,4481390000,2134350000
2010-01-26,1092.1700439453125,2203.72998046875,1103.68994140625,2227.889892578125,1089.8599853515625,2195.43994140625,1095.800048828125,2203.43994140625,4731910000,2361260000
2010-01-27,1097.5,2221.409912109375,1099.510009765625,2225.669921875,1083.1099853515625,2192.590087890625,1091.93994140625,2200.300048828125,5319120000,2492880000
2010-01-28,1084.530029296875,2179.0,1100.219970703125,2220.8701171875,1078.4599609375,2166.89990234375,1096.9300537109375,2220.31005859375,5452400000,2829640000
2010-01-29,1073.8699951171875,2147.35009765625,1096.449951171875,2202.840087890625,1071.5899658203125,2140.340087890625,1087.6099853515625,2198.260009765625,5412850000,3090580000
2010-02-01,1089.18994140625,2171.199951171875,1089.3800048828125,2171.199951171875,1073.8900146484375,2152.260009765625,1073.8900146484375,2155.81005859375,4077610000,2234140000
2010-02-02,1103.3199462890625,2190.06005859375,1104.72998046875,2193.659912109375,1087.9599609375,2161.469970703125,1090.050048828125,2171.659912109375,4749540000,2468470000
2010-02-03,1097.280029296875,2190.909912109375,1102.719970703125,2194.530029296875,1093.969970703125,2176.75,1100.6700439453125,2181.010009765625,4285450000,2303350000
2010-02-04,1063.1099853515625,2125.429931640625,1097.25,2178.25,1062.780029296875,2125.429931640625,1097.25,2176.389892578125,5859690000,2801390000
2010-02-05,1066.18994140625,2141.1201171875,1067.1300048828125,2142.27001953125,1044.5,2100.169921875,1064.1199951171875,2131.919921875,6438900000,2811100000
2010-02-08,1056.739990234375,2126.050048828125,1071.199951171875,2152.639892578125,1056.510009765625,2125.110107421875,1065.510009765625,2140.10009765625,4089820000,2036280000
2010-02-09,1070.52001953125,2150.8701171875,1079.280029296875,2166.159912109375,1060.06005859375,2132.580078125,1060.06005859375,2153.10009765625,5114260000,2296420000
2010-02-10,1068.1300048828125,2147.8701171875,1073.6700439453125,2156.360107421875,1059.3399658203125,2131.080078125,1069.6800537109375,2147.4599609375,4251450000,2059940000
2010-02-11,1078.469970703125,2177.409912109375,1080.0400390625,2179.5400390625,1060.5899658203125,2134.139892578125,1067.0999755859375,2145.090087890625,4400870000,2141260000
2010-02-12,1075.510009765625,2183.530029296875,1077.81005859375,2184.570068359375,1062.969970703125,2151.989990234375,1075.949951171875,2157.68994140625,4160680000,2236180000
2010-02-16,1094.8699951171875,2214.18994140625,1095.6700439453125,2214.18994140625,1079.1300048828125,2189.179931640625,1079.1300048828125,2200.3798828125,4080770000,2072850000
2010-02-17,1099.510009765625,2226.2900390625,1101.030029296875,2226.320068359375,1094.719970703125,2212.780029296875,1096.1400146484375,2222.8701171875,4259230000,2103530000
2010-02-18,1106.75,2241.7099609375,1108.239990234375,2243.5,1097.47998046875,2221.139892578125,1099.030029296875,2223.219970703125,3878620000,2076820000
2010-02-19,1109.1700439453125,2243.8701171875,1112.4200439453125,2249.800048828125,1100.800048828125,2228.929931640625,1105.489990234375,2233.330078125,3944280000,2166660000
2010-02-22,1108.010009765625,2242.030029296875,1112.2900390625,2251.679931640625,1105.3800048828125,2235.64990234375,1110.0,2250.919921875,3814440000,1976290000
2010-02-23,1094.5999755859375,2213.43994140625,1108.5799560546875,2239.800048828125,1092.1800537109375,2205.699951171875,1107.489990234375,2238.010009765625,4521050000,2310910000
2010-02-24,1105.239990234375,2235.89990234375,1106.4200439453125,2241.68994140625,1095.5,2221.280029296875,1095.8900146484375,2222.39990234375,4168360000,2155810000
2010-02-25,1102.93994140625,2234.219970703125,1103.5,2236.2099609375,1086.02001953125,2198.72998046875,1101.239990234375,2208.6201171875,4521130000,2300530000
2010-02-26,1104.489990234375,2238.260009765625,1107.239990234375,2242.830078125,1097.56005859375,2222.22998046875,1103.0999755859375,2234.43994140625,3945190000,2283430000
2010-03-01,1115.7099609375,2273.570068359375,1116.1099853515625,2274.02001953125,1105.3599853515625,2247.330078125,1105.3599853515625,2247.39990234375,3847640000,2504940000
2010-03-02,1118.31005859375,2280.7900390625,1123.4599609375,2292.489990234375,1116.510009765625,2275.35009765625,1117.010009765625,2279.070068359375,4134680000,2831870000
2010-03-03,1118.7900390625,2280.679931640625,1125.6400146484375,2293.320068359375,1116.5799560546875,2275.25,1119.3599853515625,2284.820068359375,3951320000,2603510000
2010-03-04,1122.969970703125,2292.31005859375,1123.72998046875,2293.159912109375,1116.6600341796875,2273.6298828125,1119.1199951171875,2282.570068359375,3945010000,2186020000
2010-03-05,1138.699951171875,2326.35009765625,1139.3800048828125,2327.030029296875,1125.1199951171875,2301.10009765625,1125.1199951171875,2304.010009765625,4133000000,2411880000
2010-03-08,1138.5,2332.2099609375,1141.050048828125,2335.429931640625,1136.77001953125,2326.110107421875,1138.4000244140625,2326.25,3774680000,2312310000
2010-03-09,1140.449951171875,2340.679931640625,1145.3699951171875,2353.070068359375,1134.9000244140625,2325.739990234375,1137.56005859375,2325.780029296875,5185570000,2620360000
2010-03-10,1145.6099853515625,2358.949951171875,1148.260009765625,2361.659912109375,1140.0899658203125,2340.68994140625,1140.219970703125,2340.949951171875,5469120000,2554740000
2010-03-11,1150.239990234375,2368.4599609375,1150.239990234375,2368.4599609375,1138.989990234375,2347.530029296875,1143.9599609375,2351.110107421875,4669060000,2256790000
2010-03-12,1149.989990234375,2367.659912109375,1153.4100341796875,2376.280029296875,1146.969970703125,2358.080078125,1151.7099609375,2376.070068359375,4928160000,2098780000
2010-03-15,1150.510009765625,2362.2099609375,1150.97998046875,2367.39990234375,1141.449951171875,2345.989990234375,1148.530029296875,2361.919921875,4164110000,1956170000
2010-03-16,1159.4599609375,2378.010009765625,1160.280029296875,2378.840087890625,1150.3499755859375,2360.669921875,1150.8299560546875,2367.320068359375,4369770000,2201880000
2010-03-17,1166.2099609375,2389.090087890625,1169.8399658203125,2400.090087890625,1159.93994140625,2381.469970703125,1159.93994140625,2381.64990234375,4963200000,2281410000
2010-03-18,1165.8299560546875,2391.280029296875,1167.77001953125,2393.8701171875,1161.1600341796875,2383.260009765625,1166.1300048828125,2387.5400390625,4234510000,2173060000
2010-03-19,1159.9000244140625,2374.409912109375,1169.199951171875,2396.919921875,1155.3299560546875,2364.530029296875,1166.6800537109375,2391.199951171875,5212410000,3055760000
2010-03-22,1165.81005859375,2395.39990234375,1167.8199462890625,2401.2099609375,1152.8800048828125,2358.0,1157.25,2360.35009765625,4261680000,2448130000
2010-03-23,1174.1700439453125,2415.239990234375,1174.719970703125,2416.510009765625,1163.8299560546875,2390.0400390625,1166.469970703125,2397.89990234375,4411640000,2465230000
2010-03-24,1167.719970703125,2398.760009765625,1173.0400390625,2408.639892578125,1166.010009765625,2396.919921875,1172.699951171875,2406.719970703125,4705750000,2436100000
2010-03-25,1165.72998046875,2397.409912109375,1180.68994140625,2432.25,1165.0899658203125,2397.360107421875,1170.030029296875,2415.239990234375,5668900000,2704870000
